rank,number,background,body,hat,accessory,score
1,933,24.244,35.5,41.417,41.417,142.578
2,601,17.75,32.065,47.333,41.417,138.565
3,68,20.286,41.417,47.333,29.235,138.271
4,479,23.667,39.76,47.333,26.158,136.918
5,754,24.244,41.417,41.417,29.235,136.313
6,142,20.708,35.5,47.333,32.065,135.606
7,724,20.708,39.76,47.333,27.611,135.412
8,354,22.089,36.815,36.815,38.231,133.95
9,171,17.75,34.276,47.333,34.276,133.635
10,592,22.089,38.231,33.133,39.76,133.213
11,739,18.755,39.76,33.133,41.417,133.065
12,1,17.138,30.121,47.333,38.231,132.823
13,82,17.75,32.065,41.417,41.417,132.649
14,947,24.244,33.133,36.815,38.231,132.423
15,119,18.407,24.85,47.333,41.417,132.007
16,242,23.667,41.417,28.4,38.231,131.715
17,614,19.115,39.76,34.276,38.231,131.382
18,359,17.138,35.5,47.333,31.062,131.033
19,16,20.708,41.417,30.121,38.231,130.477
20,748,18.755,32.065,47.333,32.065,130.218
21,225,20.708,31.062,47.333,31.062,130.165
22,319,22.089,35.5,41.417,31.062,130.068
23,830,18.755,39.76,30.121,41.417,130.053
24,126,18.407,25.487,47.333,38.231,129.458
25,25,19.115,34.276,47.333,28.4,129.124
26,906,19.115,34.276,34.276,41.417,129.084
27,736,20.286,30.121,47.333,31.062,128.802
28,688,20.708,27.611,47.333,33.133,128.785
29,96,22.089,32.065,33.133,41.417,128.704
30,369,19.115,30.121,47.333,32.065,128.634
31,401,17.75,30.121,47.333,33.133,128.337
32,770,23.667,33.133,33.133,38.231,128.164
33,179,20.708,39.76,26.158,41.417,128.043
34,206,23.667,36.815,29.235,38.231,127.948
35,222,19.49,41.417,25.487,41.417,127.811
36,896,21.149,36.815,28.4,41.417,127.781
37,841,18.755,41.417,26.158,41.417,127.747
38,622,20.708,35.5,30.121,41.417,127.746
39,694,22.089,34.276,33.133,38.231,127.729
40,9,24.244,41.417,23.667,38.231,127.559
41,123,22.089,41.417,24.244,39.76,127.51
42,950,23.667,33.133,41.417,29.235,127.452
43,636,19.115,35.5,47.333,25.487,127.435
44,939,22.089,29.235,47.333,28.4,127.057
45,548,20.286,32.065,33.133,41.417,126.901
46,167,19.115,29.235,47.333,31.062,126.745
47,723,20.708,39.76,24.85,41.417,126.735
48,50,17.138,32.065,47.333,30.121,126.657
49,339,17.75,41.417,27.611,39.76,126.538
50,761,17.75,29.235,47.333,32.065,126.383
51,928,18.407,32.065,47.333,28.4,126.205
52,780,20.286,32.065,41.417,32.065,125.833
53,410,22.089,30.121,32.065,41.417,125.692
54,187,20.708,29.235,41.417,34.276,125.636
55,909,19.49,30.121,47.333,28.4,125.344
56,865,20.286,29.235,47.333,28.4,125.254
57,17,18.407,31.062,47.333,28.4,125.202
58,477,18.407,30.121,47.333,29.235,125.096
59,253,22.089,41.417,28.4,33.133,125.039
60,458,20.286,41.417,30.121,33.133,124.957
61,238,19.49,35.5,36.815,33.133,124.938
62,231,19.115,31.062,33.133,41.417,124.727
63,631,23.667,41.417,28.4,31.062,124.546
64,133,20.286,36.815,27.611,39.76,124.472
65,282,19.49,29.235,47.333,28.4,124.458
66,954,20.708,25.487,36.815,41.417,124.427
67,796,20.286,28.4,34.276,41.417,124.379
68,699,19.115,36.815,30.121,38.231,124.282
69,396,17.75,41.417,26.865,38.231,124.263
70,786,17.138,38.231,36.815,32.065,124.249
71,227,24.244,41.417,30.121,28.4,124.182
72,235,22.089,29.235,47.333,25.487,124.144
73,291,19.49,38.231,32.065,34.276,124.062
74,859,19.115,32.065,47.333,25.487,124
75,938,20.286,24.244,47.333,32.065,123.928
76,252,19.49,39.76,24.85,39.76,123.86
77,315,20.708,22.591,47.333,33.133,123.765
78,727,21.149,30.121,41.417,31.062,123.749
79,299,20.286,38.231,23.667,41.417,123.601
80,584,18.755,31.062,41.417,32.065,123.299
81,400,23.667,29.235,32.065,38.231,123.198
82,507,20.708,32.065,32.065,38.231,123.069
83,616,22.089,31.062,30.121,39.76,123.032
84,794,22.089,34.276,28.4,38.231,122.996
85,412,17.75,38.231,41.417,25.487,122.885
86,425,17.138,33.133,34.276,38.231,122.778
87,37,19.49,28.4,33.133,41.417,122.44
88,975,19.49,30.121,47.333,25.487,122.431
89,390,19.115,29.235,34.276,39.76,122.386
90,600,23.667,28.4,32.065,38.231,122.363
91,128,18.755,30.121,41.417,32.065,122.358
92,833,24.244,30.121,36.815,31.062,122.242
93,34,19.49,30.121,34.276,38.231,122.118
94,18,21.149,39.76,30.121,31.062,122.092
95,905,18.755,27.611,34.276,41.417,122.059
96,528,19.115,25.487,47.333,30.121,122.056
97,271,22.089,32.065,36.815,31.062,122.031
98,325,19.49,32.065,47.333,23.116,122.004
99,295,23.667,24.85,32.065,41.417,121.999
100,340,23.667,33.133,33.133,32.065,121.998
101,332,23.667,29.235,27.611,41.417,121.93
102,150,20.708,34.276,25.487,41.417,121.888
103,41,21.149,35.5,32.065,33.133,121.847
104,670,17.138,30.121,33.133,41.417,121.809
105,304,23.667,25.487,34.276,38.231,121.661
106,907,18.407,24.85,47.333,31.062,121.652
107,576,20.286,38.231,32.065,31.062,121.644
108,732,24.244,35.5,23.667,38.231,121.642
109,523,19.49,29.235,33.133,39.76,121.618
110,273,17.75,35.5,26.865,41.417,121.532
111,312,17.75,35.5,28.4,39.76,121.41
112,382,18.755,38.231,34.276,30.121,121.383
113,877,19.49,28.4,47.333,26.158,121.381
114,428,20.286,32.065,41.417,27.611,121.379
115,211,23.667,30.121,26.158,41.417,121.363
116,161,18.407,25.487,47.333,30.121,121.348
117,234,20.708,34.276,34.276,32.065,121.325
118,772,19.49,29.235,41.417,31.062,121.204
119,301,23.667,30.121,33.133,34.276,121.197
120,307,17.75,38.231,33.133,32.065,121.179
121,536,19.49,30.121,30.121,41.417,121.149
122,381,19.115,36.815,32.065,33.133,121.128
123,89,17.75,27.611,41.417,34.276,121.054
124,130,18.407,41.417,30.121,31.062,121.007
125,555,23.667,33.133,33.133,31.062,120.995
126,976,17.138,29.235,33.133,41.417,120.923
127,229,20.286,34.276,34.276,32.065,120.903
128,418,18.755,33.133,29.235,39.76,120.883
129,4,24.244,32.065,41.417,23.116,120.842
130,138,22.089,38.231,34.276,26.158,120.754
131,698,23.667,31.062,26.158,39.76,120.647
132,573,19.49,27.611,47.333,26.158,120.592
133,707,19.115,33.133,26.865,41.417,120.53
134,776,20.286,35.5,41.417,23.116,120.319
135,618,21.149,38.231,33.133,27.611,120.124
136,612,19.49,29.235,33.133,38.231,120.089
137,85,19.49,35.5,26.865,38.231,120.086
138,429,19.49,36.815,25.487,38.231,120.023
139,353,19.115,30.121,41.417,29.235,119.888
140,76,24.244,33.133,24.244,38.231,119.852
141,183,19.115,41.417,33.133,26.158,119.823
142,366,22.089,31.062,28.4,38.231,119.782
143,961,20.286,32.065,33.133,34.276,119.76
144,680,20.286,34.276,33.133,32.065,119.76
145,48,17.75,32.065,47.333,22.591,119.739
146,70,18.407,32.065,41.417,27.611,119.5
147,610,23.667,39.76,28.4,27.611,119.438
148,482,19.49,41.417,28.4,30.121,119.428
149,181,19.49,28.4,33.133,38.231,119.254
150,328,17.75,30.121,33.133,38.231,119.235
151,49,22.089,35.5,28.4,33.133,119.122
152,408,23.667,35.5,34.276,25.487,118.93
153,651,18.755,27.611,31.062,41.417,118.845
154,228,17.75,36.815,33.133,31.062,118.76
155,437,21.149,30.121,29.235,38.231,118.736
156,848,22.089,29.235,33.133,34.276,118.733
157,621,23.667,36.815,26.158,32.065,118.705
158,888,23.667,23.667,33.133,38.231,118.698
159,485,19.49,29.235,36.815,33.133,118.673
160,64,19.115,32.065,27.611,39.76,118.551
161,516,22.089,30.121,33.133,33.133,118.476
162,843,23.667,35.5,26.158,33.133,118.458
